,praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
0,26.4,13.2,8.82,18.3,58.8,6.61,17.0,414.0,17.0,44.9,40.0
1,35.9,16.5,12.3,16.8,8.13,18.6,32.5,352.0,3.37,16.5,61.5
2,59.4,44.1,14.6,10.2,13.0,14.9,32.5,403.0,11.4,31.9,19.5
3,73.0,82.8,23.1,13.5,1.29,5.83,11.8,528.0,13.7,28.6,23.1
4,33.7,19.8,5.19,9.73,24.8,21.1,46.1,305.0,4.66,25.7,81.3
5,18.8,3.75,17.6,22.1,10.9,11.9,25.7,610.0,13.7,49.1,57.8
6,44.9,36.5,10.4,132.0,16.3,8.66,17.9,835.0,15.0,35.9,18.1
7,47.4,15.0,14.6,30.5,17.5,20.2,45.3,466.0,6.44,24.4,20.0
8,104.0,61.5,10.6,21.1,41.8,11.5,23.5,445.0,29.2,61.0,25.3
9,21.1,21.5,1.88,205.0,43.7,13.2,135.0,213.0,14.6,26.7,101.0
10,16.4,16.4,14.5,17.0,11.2,21.9,34.6,449.0,20.4,44.9,24.1
11,74.3,22.9,7.5,15.5,26.2,20.9,36.5,389.0,31.9,71.0,35.5
12,85.1,39.6,8.9,64.9,11.7,6.67,12.2,528.0,17.9,44.1,118.0
13,36.8,29.2,5.0,9.06,15.5,17.9,17.9,400.0,14.6,41.4,151.0
14,29.2,24.1,10.2,16.0,46.6,8.82,7.23,500.0,9.73,19.1,7.91
15,50.0,13.8,11.9,13.2,11.3,18.1,27.9,392.0,56.2,77.0,1.0
16,26.2,26.7,21.3,10.9,14.7,9.06,37.9,89.0,40.0,65.5,1.42
17,39.6,38.2,10.5,92.2,22.7,27.6,31.3,223.0,16.5,30.8,7.64
18,30.5,19.8,7.5,133.0,15.7,19.1,36.2,319.0,24.1,37.2,17.2
19,49.1,16.5,13.3,141.0,25.7,31.1,62.1,710.0,14.2,27.4,22.1
20,38.5,8.9,11.3,85.8,17.9,12.1,35.9,843.0,12.0,28.4,20.9
21,31.6,17.8,14.5,10.6,4.91,10.2,23.9,276.0,13.8,28.4,12.7
22,41.0,27.9,1.0,137.0,23.9,30.2,50.0,965.0,1.0,84.3,4.61
23,70.4,54.2,15.4,24.4,12.9,9.91,27.9,449.0,35.9,93.9,48.3
24,70.4,42.2,17.6,20.9,10.5,59.4,98.2,1981.0,35.9,46.1,17.8
25,21.5,1.0,8.28,181.0,43.7,18.8,38.5,644.0,13.6,29.2,7.04
26,39.2,23.1,18.6,22.1,10.6,17.8,32.2,466.0,10.5,23.3,6.98
27,69.8,20.4,19.8,18.4,6.26,10.4,25.0,500.0,22.7,48.3,59.4
28,34.9,22.3,17.2,50.0,23.1,34.3,51.4,308.0,13.2,38.9,196.0
29,40.7,24.8,13.0,62.6,38.2,5.14,14.7,673.0,28.1,41.8,23.1
30,45.7,15.7,13.2,21.3,7.5,23.9,49.1,1382.0,19.5,38.5,20.9
31,43.7,29.2,14.5,17.6,13.1,8.58,12.5,621.0,34.0,67.9,28.1
32,79.9,80.6,4.41,209.0,19.5,10.5,35.5,422.0,26.9,40.3,15.3
33,56.7,17.3,21.7,18.1,12.7,9.22,22.9,552.0,38.5,59.9,17.9
34,58.8,19.5,2.57,41.4,2.21,19.1,33.7,325.0,22.9,31.9,20.7
35,53.8,12.7,10.9,12.4,30.8,20.2,37.9,403.0,22.5,38.5,20.9
36,58.3,23.1,18.9,79.1,24.4,36.2,48.7,429.0,14.7,28.9,12.6
37,160.0,28.1,7.1,115.0,16.1,4.96,12.4,1241.0,2.46,31.3,83.5
38,45.3,9.39,12.2,53.8,27.6,4.29,27.6,599.0,38.2,80.6,139.0
39,54.7,28.4,8.35,9.39,20.7,38.5,59.9,898.0,12.7,23.7,13.5
40,85.1,26.9,25.3,47.8,22.9,13.6,14.2,396.0,4.74,8.98,43.3
41,109.0,43.7,9.47,343.0,60.4,27.1,42.6,319.0,14.9,37.9,17.8
42,25.7,15.3,1.0,120.0,23.7,2.69,18.9,10.2,4.96,40.3,221.0
43,50.5,28.1,27.6,28.9,13.8,14.7,24.8,382.0,15.3,20.0,7.7
44,69.2,17.8,17.8,62.1,23.1,2.71,13.3,562.0,4.45,20.0,105.0
45,62.6,19.3,8.51,20.9,39.2,4.49,24.8,474.0,23.5,48.7,22.5
46,67.9,43.7,11.4,19.3,15.8,17.8,38.5,1433.0,31.9,66.7,40.0
47,75.0,57.8,4.91,15.4,24.6,21.9,36.2,233.0,21.3,46.1,17.0
48,50.9,42.2,7.57,122.0,48.3,6.26,36.2,1027.0,12.5,32.8,108.0
49,79.9,20.4,24.1,22.5,20.0,8.82,24.1,466.0,19.1,34.9,6.15
50,62.6,21.7,21.9,22.1,3.82,39.2,75.7,1310.0,8.74,22.7,11.7
51,50.9,25.3,6.38,76.4,17.2,9.06,15.4,673.0,4.66,26.9,173.0
52,75.0,30.5,13.6,51.4,42.2,25.3,35.5,466.0,20.4,43.7,10.1
53,59.4,25.3,11.7,20.7,27.9,3.62,12.4,29.7,17.2,32.5,10.5
54,181.0,37.9,1.0,292.0,49.6,6.38,13.1,573.0,20.9,38.2,17.6
55,69.8,33.1,12.7,67.3,1.91,4.07,27.1,973.0,85.8,121.0,32.5
56,57.3,19.1,11.1,42.2,6.61,5.83,13.5,547.0,44.9,80.6,71.7
57,82.8,30.5,13.9,18.6,6.92,23.5,37.5,418.0,6.55,16.7,95.6
58,35.5,24.6,15.7,35.5,11.9,21.9,45.7,322.0,6.79,23.3,11.9
59,80.6,27.9,17.9,42.6,17.3,2.84,20.7,188.0,20.7,33.1,17.5
60,113.0,45.7,10.8,154.0,58.3,13.1,21.5,337.0,5.47,20.0,9.39
61,8.9,10.1,10.3,89.0,29.4,181.0,355.0,1731.0,24.1,42.2,20.7
62,35.2,14.1,7.1,20.2,32.2,12.9,22.5,583.0,37.5,47.4,9.47
63,24.1,12.3,12.7,62.6,26.7,9.14,16.5,547.0,25.7,59.9,80.6
64,164.0,33.1,5.78,28.6,13.7,16.3,24.1,319.0,22.5,35.5,12.4
65,57.8,27.1,15.5,57.3,19.5,25.9,34.6,382.0,3.05,27.1,78.4
66,90.6,27.4,40.0,97.3,71.0,10.9,18.9,429.0,4.45,42.9,80.6
67,38.5,12.7,4.37,22.7,23.7,4.22,10.8,578.0,1.86,7.37,3.43
68,51.4,36.8,12.7,40.3,21.7,12.7,25.9,667.0,2.5,14.9,64.9
69,26.9,15.1,18.6,20.5,8.43,20.4,38.5,437.0,11.7,24.4,15.4
70,56.2,21.1,12.7,21.1,57.8,14.1,19.8,474.0,25.9,39.6,75.7
71,70.4,35.5,18.4,45.7,47.8,18.8,31.6,418.0,10.0,22.3,6.67
72,58.8,35.2,12.2,16.5,24.1,18.4,33.7,362.0,16.3,19.8,10.4
73,69.2,35.5,17.3,50.0,19.8,8.51,18.6,151.0,12.0,31.1,27.6
74,69.8,47.0,25.5,276.0,77.0,32.8,51.4,799.0,19.6,47.8,16.4
75,105.0,59.9,20.0,19.6,15.1,6.85,23.1,1065.0,1.67,48.3,4.66
76,62.1,51.9,13.6,30.2,10.6,14.3,37.9,692.0,6.49,25.0,91.4
77,75.0,33.4,1.0,31.6,1.0,19.8,27.6,505.0,18.6,31.1,7.64
78,20.4,15.1,7.99,101.0,35.9,9.14,22.9,400.0,11.7,22.7,6.85
79,47.8,19.6,17.5,33.1,82.0,17.9,35.2,956.0,22.5,43.3,20.0
80,59.9,53.3,11.8,77.7,12.9,11.1,37.9,1407.0,18.8,29.4,16.8
81,46.6,27.1,12.4,109.0,21.9,21.5,38.2,207.0,11.0,31.3,12.0
82,51.9,21.3,49.1,58.8,10.8,58.8,200.0,3051.0,15.3,39.2,15.7
83,31.9,23.9,15.1,12.7,4.61,6.73,15.0,562.0,1.0,68.5,8.2
84,93.9,27.4,67.3,138.0,30.8,28.1,46.1,906.0,2.69,6.98,71.0
85,64.9,23.3,15.3,12.6,9.06,19.6,35.2,806.0,2.37,20.0,7.91
86,153.0,123.0,12.0,34.6,63.8,8.58,26.2,470.0,1.0,12.0,9.91
87,16.7,12.4,7.04,235.0,34.9,44.9,64.9,1843.0,23.5,36.2,30.5
88,71.7,25.5,13.1,12.0,43.3,12.2,31.3,655.0,7.7,16.4,49.1
89,35.5,23.7,2.89,4.26,12.9,13.0,22.7,470.0,7.77,33.4,16.3
90,83.5,61.5,13.0,34.6,12.3,3.46,19.5,239.0,2.53,2.69,6.1
91,31.9,8.82,12.9,154.0,56.7,16.8,16.0,433.0,9.56,48.7,54.2
92,29.4,20.2,7.7,125.0,27.4,89.0,150.0,799.0,2.71,15.4,49.1
93,302.0,325.0,17.6,25.7,10.7,29.2,38.2,313.0,10.8,36.5,17.2
94,40.3,16.5,11.5,505.0,67.3,19.3,29.7,483.0,2.92,15.3,89.0
95,29.2,15.4,9.73,23.1,71.0,6.38,47.0,557.0,20.0,24.6,7.7
96,46.1,25.7,12.7,24.4,37.2,16.8,35.9,375.0,5.47,39.2,95.6
97,52.3,21.5,27.1,155.0,67.9,7.23,23.9,820.0,3.59,25.0,93.1
98,48.7,36.5,18.6,10.6,13.9,6.1,25.9,1009.0,10.2,22.7,15.3
99,85.8,82.0,120.0,325.0,79.1,6.61,10.9,723.0,12.1,21.9,5.42
100,75.7,25.9,21.5,64.4,45.3,8.28,28.4,583.0,15.7,36.8,13.7
101,58.3,21.9,14.9,18.4,30.2,5.47,17.2,982.0,16.3,21.5,15.5
102,58.8,34.9,13.3,82.8,38.2,22.5,27.9,379.0,6.55,18.4,48.7
103,112.0,27.6,28.4,67.9,30.5,10.8,16.7,403.0,17.8,29.7,7.77
104,66.7,29.2,2.39,10.9,32.2,22.9,32.2,379.0,14.3,30.8,17.6
105,39.6,23.9,6.61,137.0,20.4,22.7,38.2,313.0,16.1,20.0,10.5
106,36.5,15.5,2.55,8.35,40.0,15.8,34.6,281.0,21.3,28.6,13.9
107,38.2,25.7,32.2,59.4,138.0,24.1,36.5,331.0,38.5,67.9,16.3
108,41.8,21.3,9.39,7.91,32.5,13.3,61.0,858.0,2.81,17.3,64.4
109,62.1,18.1,24.8,113.0,25.5,17.0,34.6,604.0,4.26,13.5,72.3
110,167.0,79.1,9.65,111.0,20.2,28.4,89.0,1472.0,20.4,29.2,12.9
111,55.7,28.6,25.9,51.9,64.9,7.5,17.6,271.0,2.21,4.45,9.73
112,84.3,71.7,12.9,93.1,36.5,8.9,17.8,906.0,9.06,25.0,42.2
113,60.4,25.3,19.1,27.4,44.5,44.5,64.9,1197.0,20.9,49.6,17.5
114,57.3,21.9,38.2,38.5,81.3,5.83,12.9,274.0,16.0,21.5,14.9
115,76.4,32.8,30.0,60.4,49.6,5.47,14.3,87.4,11.1,27.4,7.43
116,96.5,119.0,15.5,71.0,13.9,19.5,32.2,500.0,50.9,75.0,26.9
117,38.5,17.8,32.2,115.0,61.0,10.6,21.3,965.0,5.0,20.4,34.9
118,66.1,46.6,7.7,19.6,75.7,15.7,17.8,519.0,12.0,13.8,14.9
119,112.0,79.1,7.37,15.0,35.9,10.6,32.2,382.0,14.9,31.1,12.0
120,47.0,22.3,12.2,73.0,24.1,3.49,11.4,340.0,5.62,13.9,93.9
121,87.4,54.7,19.6,8.58,24.8,15.8,33.1,757.0,24.6,40.7,25.0
122,57.8,19.1,22.9,19.1,11.3,18.8,57.3,743.0,8.66,8.35,24.4
123,92.2,31.1,18.9,22.3,34.3,13.6,29.4,385.0,7.23,17.6,7.99
124,93.1,28.9,9.56,11.4,23.1,20.4,24.8,319.0,4.14,20.2,122.0
125,107.0,36.8,16.0,38.9,29.2,18.8,28.1,276.0,1.83,25.5,97.3
126,80.6,56.7,16.1,27.6,4.03,5.28,5.88,491.0,3.52,5.57,24.4
127,44.9,25.3,1.0,158.0,12.3,14.2,26.2,514.0,6.55,16.1,33.7
128,27.4,18.8,9.65,13.2,9.73,18.6,54.7,286.0,1.88,19.8,88.2
129,31.6,25.7,24.6,35.2,25.7,14.1,25.7,284.0,20.4,28.4,48.3
130,52.3,33.4,8.13,25.5,5.73,30.5,42.9,305.0,34.9,68.5,20.4
131,71.7,27.4,8.82,18.3,23.1,14.1,27.4,649.0,3.82,20.2,53.8
132,44.5,26.9,15.5,87.4,12.5,4.53,16.0,379.0,3.68,32.5,77.0
133,74.3,27.4,16.4,22.7,2.0,6.26,15.1,457.0,13.6,24.6,6.55
134,44.1,20.2,13.9,17.8,39.2,22.3,30.2,487.0,30.5,40.0,23.7
135,42.9,22.9,17.3,17.8,21.9,13.1,36.8,710.0,12.6,24.4,65.5
136,79.1,26.4,1.19,3.96,41.4,8.06,20.4,509.0,3.68,16.0,63.2
137,89.0,30.0,44.9,47.0,7.37,52.8,97.3,2288.0,69.8,94.7,8.28
138,63.2,27.4,14.5,80.6,41.0,15.1,38.2,453.0,13.6,32.8,13.1
139,27.9,20.7,25.3,70.4,42.2,6.98,21.3,313.0,24.8,44.5,23.1
140,69.8,22.9,19.3,17.5,9.73,20.7,28.1,255.0,13.0,25.3,9.73
141,28.9,15.7,22.7,37.9,49.1,13.0,23.5,509.0,22.1,53.8,35.9
142,102.0,30.8,7.17,82.0,49.1,20.2,25.0,343.0,3.96,26.9,87.4
143,59.4,25.3,14.9,61.5,26.2,22.5,36.5,239.0,2.74,14.5,77.7
144,89.8,31.3,18.8,22.5,8.74,25.0,37.5,426.0,29.7,60.4,24.1
145,200.0,33.1,19.5,56.2,16.1,21.7,35.5,305.0,4.26,14.2,95.6
146,62.1,18.1,14.9,149.0,62.1,4.49,20.7,698.0,44.1,125.0,57.3
147,46.1,23.7,17.9,276.0,41.4,15.0,19.5,334.0,16.7,31.6,11.8
148,149.0,85.1,8.43,7.99,17.8,29.2,69.2,1208.0,26.4,46.6,30.0
149,8.9,15.5,7.91,153.0,16.0,40.3,61.5,1582.0,12.2,25.7,12.0
150,109.0,40.0,9.82,24.4,73.0,12.3,23.1,487.0,17.9,30.8,15.1
151,71.7,42.9,31.1,23.9,10.5,8.13,34.9,2571.0,1.0,33.4,1.01
152,68.5,24.4,16.3,47.8,13.9,5.94,17.2,649.0,18.6,38.5,17.8
153,79.9,44.1,4.45,89.8,28.1,39.2,82.8,632.0,20.4,51.4,35.9
154,85.1,34.9,1.0,325.0,23.5,44.1,86.6,799.0,23.9,41.8,16.7
155,196.0,163.0,3.85,311.0,59.9,22.9,25.3,470.0,2.15,6.61,2.81
156,38.5,17.3,25.7,26.4,10.9,29.4,42.6,322.0,23.3,37.5,19.3
157,64.4,50.9,12.7,12.4,3.11,22.5,30.0,573.0,25.0,54.7,20.9
158,97.3,22.7,17.5,101.0,31.3,19.6,25.3,352.0,13.9,36.2,9.82
159,79.1,28.4,7.3,6.73,66.7,27.4,53.3,1655.0,40.0,66.1,20.4
160,106.0,24.8,1.35,61.0,16.1,70.4,108.0,1018.0,15.4,31.9,14.2
161,76.4,30.8,8.51,141.0,12.1,19.3,34.0,297.0,6.15,29.4,118.0
162,108.0,30.8,21.5,41.0,30.8,6.61,27.4,1094.0,11.5,30.2,67.3
163,53.3,34.6,18.3,41.0,56.2,3.79,30.8,965.0,3.43,16.4,70.4
164,27.9,19.3,24.4,106.0,23.7,14.7,21.3,519.0,14.9,36.2,16.5
165,69.8,26.2,21.9,20.4,17.0,18.9,45.3,533.0,2.41,9.47,74.3
166,7.23,5.88,17.8,119.0,14.1,8.82,23.7,445.0,3.0,18.1,66.7
167,49.1,18.8,14.9,29.4,15.0,17.6,28.1,470.0,1.88,21.9,59.4
168,42.6,15.7,53.3,62.6,16.5,3.79,10.3,552.0,6.98,44.9,271.0
169,16.5,22.9,9.22,10.9,46.1,3.59,13.6,874.0,12.5,28.1,2.89
170,101.0,61.0,17.9,13.0,27.9,7.99,11.1,215.0,5.14,11.4,58.8
171,59.9,21.9,11.5,17.2,13.3,8.82,24.8,965.0,9.22,44.9,3.85
172,102.0,46.1,11.3,104.0,13.3,36.8,65.5,914.0,13.7,33.4,11.0
173,142.0,101.0,26.9,422.0,101.0,11.3,19.5,649.0,8.43,29.2,138.0
174,61.5,17.2,17.8,10.1,16.7,14.9,33.1,542.0,11.1,20.9,154.0
175,54.7,20.4,15.5,35.2,32.5,11.7,18.1,599.0,1.63,17.5,67.9
176,50.5,19.5,4.78,13.6,24.8,11.7,28.9,509.0,18.3,39.6,23.3
177,34.0,13.3,26.7,38.2,98.2,34.0,59.4,704.0,32.8,63.2,50.9
178,48.7,19.5,32.8,43.7,44.9,8.58,24.4,466.0,1.6,20.4,64.9
179,70.4,25.3,12.3,145.0,21.1,4.53,24.6,255.0,4.83,18.8,51.9
180,45.7,19.1,6.32,94.7,17.2,8.43,16.0,244.0,3.08,23.5,93.9
181,78.4,33.1,25.3,27.4,46.6,66.7,164.0,3220.0,17.8,29.7,18.3
182,17.6,11.4,32.5,94.7,117.0,23.7,36.5,355.0,9.82,23.1,18.9
183,29.4,26.4,15.1,21.5,8.13,15.4,71.7,610.0,2.07,22.1,57.3
184,63.8,21.1,7.64,38.2,50.0,4.41,13.9,461.0,20.5,31.3,13.2
185,227.0,155.0,28.6,32.8,22.3,10.8,10.1,362.0,19.6,39.2,12.1
186,64.4,29.7,13.7,33.4,8.58,7.7,23.1,1252.0,12.6,25.3,1.11
187,57.8,15.3,19.5,71.0,31.6,14.3,17.9,505.0,18.9,38.9,33.1
188,75.0,23.7,13.5,178.0,31.6,21.5,33.1,255.0,28.1,43.7,12.5
189,48.7,25.0,52.3,109.0,16.3,6.85,17.8,445.0,3.85,16.0,63.8
190,61.0,53.3,27.4,32.5,3.72,9.56,25.7,1346.0,1.42,19.6,79.9
191,96.5,46.1,16.1,15.5,31.6,3.85,22.3,5.57,6.15,32.5,73.0
192,54.7,26.2,12.5,93.9,14.9,11.5,18.6,474.0,16.4,24.1,7.3
193,118.0,39.2,66.1,75.0,14.1,4.33,11.1,562.0,18.3,36.5,13.3
194,96.5,56.2,29.7,39.2,16.1,12.2,37.9,1000.0,17.3,47.0,23.1
195,89.0,52.8,24.4,18.9,3.85,23.1,42.9,710.0,21.1,37.9,18.6
196,25.3,38.5,21.5,48.3,75.0,19.1,33.7,308.0,89.0,138.0,46.6
197,96.5,46.1,20.9,51.4,14.5,53.3,118.0,882.0,3.34,12.9,30.5
198,62.6,34.9,18.1,133.0,30.0,21.5,24.1,403.0,9.56,21.3,13.6
199,18.3,20.0,47.4,75.7,63.2,13.3,19.3,400.0,19.3,31.9,29.4
200,65.5,32.5,12.9,17.0,12.7,18.8,31.1,334.0,5.88,33.1,138.0
201,85.1,41.0,14.9,32.2,27.4,38.5,47.0,777.0,6.38,23.1,56.2
202,79.9,25.0,36.5,26.2,42.6,4.91,9.91,385.0,5.42,25.9,98.2
203,42.2,20.2,8.2,26.9,23.9,19.1,40.3,422.0,22.9,32.5,24.4
204,61.0,19.1,10.2,68.5,28.6,10.9,6.55,267.0,20.5,43.7,21.9
205,17.5,10.9,6.1,155.0,21.3,17.2,26.4,389.0,17.3,47.0,23.7
206,36.5,22.3,33.4,63.8,126.0,9.73,19.8,552.0,20.9,34.6,15.4
207,14.6,14.9,21.7,167.0,31.3,19.1,32.8,286.0,5.19,15.5,108.0
208,17.3,24.4,25.7,26.9,8.58,21.5,36.2,284.0,17.0,35.2,14.9
209,63.2,10.9,65.5,127.0,29.7,26.9,53.8,337.0,25.9,38.9,20.5
210,35.2,16.0,12.5,157.0,48.3,15.5,117.0,1499.0,28.9,46.1,10.7
211,57.3,27.6,14.5,173.0,37.2,5.57,12.4,604.0,15.8,37.2,18.8
212,24.4,15.5,15.0,114.0,15.8,16.7,30.0,1000.0,13.6,20.5,17.3
213,69.8,40.7,14.6,135.0,27.9,29.2,42.9,385.0,14.3,24.1,9.06
214,74.3,35.9,44.9,53.8,75.0,10.6,33.1,1382.0,10.6,28.9,4.26
215,101.0,35.5,16.5,88.2,16.8,49.6,72.3,730.0,17.2,32.5,17.9
216,41.4,17.2,22.1,21.1,12.7,23.9,34.3,379.0,1.0,13.2,8.66
217,82.0,66.1,11.4,17.2,32.8,5.28,12.3,158.0,25.7,63.2,31.9
218,86.6,38.2,18.8,10.3,2.48,19.5,31.3,382.0,18.8,30.5,3.49
219,14.1,7.23,20.7,155.0,13.5,17.3,86.6,195.0,20.5,38.2,15.8
220,89.8,52.3,2.81,14.5,49.1,38.2,83.5,750.0,25.5,41.0,15.0
221,97.3,41.4,27.6,178.0,48.3,11.3,27.1,528.0,3.82,14.6,68.5
222,26.9,13.7,11.0,34.9,35.5,17.5,39.2,505.0,13.9,30.2,10.2
223,89.0,21.3,13.7,20.7,15.5,3.31,13.7,407.0,1.78,1.53,55.2
224,66.1,23.9,17.6,12.6,20.0,21.7,35.9,269.0,24.4,36.5,11.3
225,129.0,53.3,25.3,382.0,87.4,7.64,8.13,305.0,6.49,40.3,87.4
226,39.2,19.3,37.5,85.8,46.1,7.23,12.1,599.0,21.9,47.0,17.8
227,25.0,18.6,4.03,12.0,36.2,29.7,41.0,346.0,5.78,11.9,26.4
228,45.7,19.3,7.17,98.2,29.7,5.33,22.9,365.0,23.3,40.0,21.1
229,62.1,20.5,25.0,57.3,12.1,14.9,21.5,422.0,1.0,89.0,1.57
230,71.0,32.5,20.2,83.5,131.0,4.83,20.5,25.3,23.9,37.5,17.8
231,50.0,31.6,6.67,11.3,14.9,14.7,113.0,181.0,17.5,28.6,9.22
232,102.0,31.6,4.41,12.9,21.7,8.58,18.3,523.0,10.1,33.4,104.0
233,63.2,24.6,11.2,16.5,3.11,6.44,17.5,542.0,3.49,9.82,4.53
234,233.0,66.1,14.5,87.4,20.4,13.3,18.4,359.0,1.0,18.9,58.8
235,38.9,24.1,18.9,36.8,17.5,42.6,80.6,1075.0,11.8,35.9,11.3
236,98.2,44.1,6.04,23.1,16.1,12.0,22.7,547.0,22.9,50.5,15.4
237,38.9,24.6,8.66,6.49,26.2,22.7,26.7,219.0,10.7,39.6,71.7
238,87.4,29.4,22.5,22.7,13.9,26.2,47.8,311.0,10.8,13.8,9.65
239,75.7,21.5,1.0,71.7,2.27,6.26,15.5,418.0,14.7,28.9,12.7
240,79.9,18.9,15.7,80.6,23.7,7.77,15.1,396.0,20.0,32.8,18.6
241,52.8,19.5,19.3,54.7,47.4,43.7,57.3,661.0,11.2,38.9,98.2
242,63.8,17.0,33.7,35.2,12.9,70.4,109.0,1358.0,9.73,25.9,91.4
243,107.0,44.9,7.99,17.6,45.7,7.84,21.1,500.0,4.53,12.4,69.8
244,59.4,18.4,17.0,76.4,16.3,31.1,59.4,667.0,18.4,51.9,18.4
245,106.0,74.3,48.7,61.5,24.8,16.0,36.2,542.0,7.7,27.9,167.0
246,71.0,40.7,11.7,16.8,14.5,7.99,16.7,655.0,24.8,43.3,14.3
247,21.5,13.1,23.7,24.4,17.0,4.29,11.1,392.0,12.3,27.9,29.2
248,149.0,51.4,33.7,120.0,31.6,29.4,54.2,1762.0,19.1,26.7,8.9
249,25.9,12.3,17.8,112.0,18.1,17.9,36.5,346.0,5.0,21.1,57.3
250,64.4,48.3,12.3,30.0,35.2,13.3,34.9,349.0,13.7,31.1,16.1
251,36.2,11.3,15.5,16.4,37.9,15.3,22.9,414.0,4.14,10.4,68.5
252,51.9,26.7,12.9,44.5,4.49,30.2,50.0,302.0,17.9,22.3,10.3
253,21.7,7.57,9.65,308.0,38.2,11.8,29.4,355.0,8.13,17.2,89.8
254,93.9,35.9,17.6,14.3,13.0,23.5,40.0,300.0,13.2,24.6,13.0
255,56.7,20.5,13.6,88.2,30.0,24.4,32.5,414.0,25.3,41.4,16.4
256,66.1,16.1,11.0,75.0,14.3,13.2,29.2,466.0,24.8,49.6,29.2
257,27.6,17.0,11.2,99.1,50.0,29.7,50.5,1346.0,25.3,52.8,13.2
258,49.1,33.4,21.7,19.8,10.1,25.3,39.2,400.0,25.7,33.7,20.9
259,157.0,51.9,12.3,21.7,45.3,5.99,45.3,49.1,7.77,10.3,41.0
260,124.0,33.4,13.5,16.3,17.5,16.1,25.0,466.0,9.47,24.1,262.0
261,37.9,16.4,34.6,39.2,6.85,2.53,13.9,239.0,4.07,58.8,89.0
262,45.3,25.5,22.1,15.1,13.3,12.3,22.9,474.0,2.05,23.5,106.0
263,163.0,86.6,33.1,53.8,15.4,40.3,53.3,316.0,18.9,38.5,13.2
264,62.6,33.7,8.58,37.2,44.9,5.0,4.29,400.0,24.6,45.3,28.6
265,26.4,15.3,43.7,43.7,13.3,6.04,21.9,1037.0,30.8,61.0,14.2
266,52.3,29.7,13.3,85.1,88.2,11.9,32.2,1446.0,19.5,43.7,20.7
267,81.3,24.8,21.5,25.0,4.53,181.0,248.0,621.0,15.3,34.0,22.1
268,95.6,38.2,5.0,281.0,64.4,26.4,45.3,496.0,26.2,48.7,10.4
269,79.9,29.4,5.05,117.0,17.3,30.0,71.0,828.0,8.82,22.1,12.6
270,17.3,14.6,15.1,121.0,30.8,10.4,14.7,717.0,16.0,26.4,8.35
271,51.4,37.9,42.6,73.7,36.2,15.5,35.5,1219.0,1.98,17.6,77.0
272,38.5,7.3,3.13,17.0,17.5,29.4,41.8,470.0,27.4,42.9,16.0
273,52.8,53.3,3.65,13.6,42.6,36.8,62.6,1000.0,12.4,23.5,23.7
274,91.4,40.3,17.0,38.2,1.49,10.5,27.1,1009.0,29.7,50.0,33.4
275,37.9,14.2,13.3,32.8,12.1,17.9,42.9,487.0,2.11,24.8,66.7
276,55.2,18.8,7.5,32.5,13.6,55.7,97.3,2618.0,10.1,30.8,58.3
277,44.5,24.8,15.5,178.0,45.3,21.1,57.3,982.0,1.0,58.3,8.43
278,70.4,30.0,20.4,17.3,13.7,19.1,36.8,349.0,17.0,53.3,22.3
279,47.4,30.5,19.8,21.7,31.6,33.1,87.4,400.0,3.89,36.8,96.5
280,63.8,21.7,22.7,184.0,36.2,20.5,26.2,359.0,3.96,19.8,80.6
281,23.5,42.9,12.1,29.2,27.4,1.5,8.51,154.0,20.7,36.2,13.5
282,5.23,15.1,22.1,93.9,7.7,133.0,297.0,1094.0,9.39,19.6,4.14
283,14.5,15.4,1.0,117.0,3.49,16.0,29.4,457.0,20.4,48.3,16.0
284,36.8,9.47,12.2,12.6,15.8,20.0,30.0,271.0,12.1,26.2,85.8
